Horodateur;Vous êtes actuellement :;Quelle était votre série au Baccalauréat ?;Quelles étaient vos matières préférées au lycée ?;Dans quelles matières vous étiez doués?;Dans quelles activités pensez-vous être naturellement à l'aise ?;Parmi les activités suivantes, lesquelles vous attirent le plus ?;Quel type de problème aimez-vous le plus résoudre ?;Quel type d'activité pédagogique vous attire le plus ?;Aimez-vous plutôt la pratique ou les leçons (théorie) ?;Quel rythme de travail vous correspond le mieux ?;Dans quel environnement aimeriez-vous travailler ?;Quels sont vos domaines d'intérêt principaux ? (Ex: programmation, musique, voyage, dessins, chimie, ...) Mentionnez-en plusieurs si vous en avez;Préférez-vous travailler principalement ?;Qu'est-ce qui est le plus important pour vous dans le choix d'une formation ?;Avez-vous étudié ou étudiez-vous à l'ISPM ?;Si oui, quelle est / a été votre filière (mention) à l'ISPM ?;Si vous êtes diplômé(e) / professionnel(le), quel est votre métier actuel ?;Si vous êtes diplômés, avec le recul, quel est votre niveau de satisfaction concernant l'adéquation entre votre formation et votre métier ?
2026-08-29 21:01:20.000000;Professionnel(le) diplômé(e) / Actif(ve);Série Technique;Technologie / Sciences industrielles, Mathématiques, Physique;Technologie / Sciences industrielles, Mathématiques, Physique, Français / Langues, Histoire / Géographie;Manipuler des outils, Dessiner / concevoir, Résoudre des problèmes, Calculer, Mémoriser;Concevoir des systèmes techniques, Comprendre et utiliser des machines, Concevoir et construire des objets ou infrastructures, Organiser et coordonner des projets, Observer et comprendre des phénomènes scientifiques;Problèmes liés à la construction et aux infrastructures, Problèmes liés aux machines et aux systèmes, Problèmes techniques et industriels;Résoudre des exercices, Faire des sorties / visites de terrain, Faire des travaux pratiques, Participer à des simulations ou études de cas, Faire des recherches documentaires;Équilibré entre Théorie et Pratique;Travail avec des tâches variées;Environnement naturel;jardinage, robotique, mathématiques, chant;En grande équipe;Créer ma propre entreprise, Travailler dans un domaine scientifique, Travailler dans mon domaine de passion, Faire quelque chose que j'aime, Avoir de bonnes opportunités d'emploi;Non;;Chef de projet;4
2026-08-27 07:17:21.000000;Étudiant(e);Série D;Chimie, Mathématiques, Histoire / Géographie;Sciences de la vie / Biologie, Chimie, Mathématiques, Philosophie, Gestion / Comptabilité;Observer, Expérimenter, Résoudre des problèmes, Analyser des informations;Étudier le vivant, les plantes ou les animaux, Réaliser des expériences en laboratoire, Observer et comprendre des phénomènes scientifiques;Problèmes scientifiques et expérimentaux, Problèmes liés à l'agriculture et à l'élevage, Problèmes liés à la santé, aux médicaments ou aux produits biologiques;Faire des sorties / visites de terrain, Faire des recherches documentaires, Réaliser un projet;Orienté très fortement Pratique & Projets;Je ne sais pas encore;Banque / institution financière;peinture, cuisine, physique;Seul(e);Faire quelque chose que j'aime, Utiliser mes points forts;Non;;;
2026-08-25 14:10:58.000000;Étudiant(e);Série L;Français / Langues, Histoire / Géographie, Gestion / Comptabilité;Français / Langues, Histoire / Géographie, Philosophie, Chimie, Sciences de la vie / Biologie;Rédiger, Argumenter, Mémoriser, Observer;Défendre une idée ou argumenter, Étudier des lois, règles et réglementations, Communiquer et travailler avec des personnes;Problèmes juridiques et réglementaires, Problèmes liés à la communication et au commerce, Problèmes liés à la gestion d'une organisation;Faire des travaux pratiques, Résoudre des exercices;Équilibré entre Théorie et Pratique;Je ne sais pas encore;Entreprise / organisation;musique, mode, astronomie, entrepreneuriat;Avec beaucoup de contacts avec des clients / utilisateurs;Être utile à la société, Créer ma propre entreprise, Avoir un métier stable, Travailler avec des technologies, Travailler dans un domaine scientifique;Oui;FIC : Finances et Comptabilités;;
2026-08-28 20:42:26.000000;Étudiant(e);Série S;Chimie, Physique, Mathématiques;Mathématiques, Physique, Chimie, Gestion / Comptabilité;Calculer, Analyser des informations, Résoudre des problèmes, Expérimenter, Organiser;Analyser des chiffres et des données, Faire des calculs et résoudre des problèmes mathématiques, Observer et comprendre des phénomènes scientifiques;Problèmes scientifiques et expérimentaux, Problèmes mathématiques et logiques, Problèmes techniques et industriels;Faire des sorties / visites de terrain, Participer à des simulations ou études de cas, Faire des recherches documentaires, Faire des travaux pratiques;Équilibré entre Théorie et Pratique;Je ne sais pas encore;Terrain agricole;musique, mode, échecs;Seul(e);Travailler avec des personnes, Utiliser mes matières préférées, Utiliser mes points forts, Travailler dans mon domaine de passion;Oui;ISAIA : Informatique Statistique Appliquée et Intelligence Artificielle;;
2026-08-24 06:34:43.000000;Professionnel(le) diplômé(e) / Actif(ve);Série OSE;Histoire / Géographie, Français / Langues;Sciences de la vie / Biologie, Histoire / Géographie;Organiser, Communiquer, Travailler avec des personnes, Dessiner / concevoir, Calculer;Organiser et coordonner des projets, Gérer une entreprise ou une organisation, Communiquer et travailler avec des personnes, Faire des calculs et résoudre des problèmes mathématiques;Problèmes liés à l'environnement, Problèmes économiques et financiers;Faire des recherches documentaires, Réaliser un projet;Équilibré entre Théorie et Pratique;Travail avec des tâches variées;Hôtel / restaurant;musique, marketing;En grande équipe;Avoir la possibilité de travailler à l'étranger, Travailler dans mon domaine de passion, Travailler avec des personnes, Travailler avec des technologies, Travailler dans un domaine scientifique;Oui;EMP : Economie et Management de Projet;Chef cuisinier;5
2026-08-28 01:43:44.000000;Étudiant(e);Série S;Mathématiques, Chimie, Physique;Mathématiques, Physique, Chimie, Arts / Design;Calculer, Analyser des informations, Résoudre des problèmes, Expérimenter, Diriger une équipe;Analyser des chiffres et des données, Faire des calculs et résoudre des problèmes mathématiques, Observer et comprendre des phénomènes scientifiques;Problèmes scientifiques et expérimentaux, Problèmes techniques et industriels;Faire des sorties / visites de terrain, Réaliser un projet, Faire des travaux pratiques, Travailler en groupe, Réaliser des expériences;Orienté fortement Théorie, Leçons;Travail avec des tâches variées;Usine / environnement industriel;marketing;En grande équipe;Utiliser mes matières préférées, Créer ma propre entreprise, Avoir un salaire intéressant, Pouvoir évoluer professionnellement;Non;;;
2026-08-25 03:05:32.000000;Étudiant(e);Série Technique;Technologie / Sciences industrielles, Mathématiques, Informatique;Technologie / Sciences industrielles, Mathématiques, Physique;Manipuler des outils, Dessiner / concevoir, Résoudre des problèmes, Calculer, Argumenter;Concevoir des systèmes techniques, Comprendre et utiliser des machines, Concevoir et construire des objets ou infrastructures;Problèmes liés aux machines et aux systèmes, Problèmes liés à la construction et aux infrastructures;Participer à des simulations ou études de cas, Travailler en groupe, Faire des présentations / exposés, Faire des travaux pratiques, Faire des recherches documentaires;Orienté fortement Théorie, Leçons;Travail avec des tâches variées;Environnement naturel;physique;En grande équipe;Utiliser mes points forts, Travailler dans un domaine scientifique;Oui;ESIIA : Electronique Système Informatique et Intelligence Artificielle;;
2026-08-27 16:11:11.000000;Étudiant(e);Série Technique;Technologie / Sciences industrielles, Physique, Mathématiques;Technologie / Sciences industrielles, Mathématiques, Physique, Chimie, Philosophie;Manipuler des outils, Dessiner / concevoir, Résoudre des problèmes, Calculer, Organiser;Concevoir des systèmes techniques, Comprendre et utiliser des machines, Concevoir et construire des objets ou infrastructures, Gérer les finances et la comptabilité;Problèmes liés aux machines et aux systèmes, Problèmes techniques et industriels, Problèmes liés à la construction et aux infrastructures;Résoudre des exercices, Faire des présentations / exposés, Faire des sorties / visites de terrain;Équilibré entre Théorie et Pratique;Je ne sais pas encore;Atelier;biologie, écriture;Avec beaucoup de contacts avec des clients / utilisateurs;Créer ma propre entreprise, Avoir de bonnes opportunités d'emploi;Non;;;
2026-08-21 06:25:48.000000;Étudiant(e);Série OSE;Histoire / Géographie, Français / Langues, Sciences de la vie / Biologie, Économie;Sciences de la vie / Biologie, Histoire / Géographie;Organiser, Communiquer, Travailler avec des personnes, Programmer, Argumenter;Organiser et coordonner des projets, Gérer une entreprise ou une organisation, Étudier les propriétés des substances et des matériaux, Découvrir et faire découvrir des cultures;Problèmes liés à l'environnement, Je ne sais pas encore, Problèmes économiques et financiers;Faire des présentations / exposés, Réaliser un projet, Faire des sorties / visites de terrain, Travailler en groupe, Réaliser des expériences;Orienté très fortement Pratique & Projets;Je ne sais pas encore;Commerce / magasin;architecture, peinture;Avec beaucoup de contacts avec des clients / utilisateurs;Utiliser mes matières préférées, Être utile à la société, Avoir un salaire intéressant, Utiliser mes points forts;Oui;CAA : Commerce et Administration des Affaires;;
2026-08-30 20:12:46.000000;Étudiant(e);Série C;Chimie, Mathématiques, Physique, Informatique;Mathématiques, Physique, Chimie;Calculer, Analyser des informations, Résoudre des problèmes, Expérimenter, Observer;Analyser des chiffres et des données, Faire des calculs et résoudre des problèmes mathématiques, Observer et comprendre des phénomènes scientifiques, Travailler dans l'agriculture ou l'élevage, Découvrir et faire découvrir des cultures;Problèmes techniques et industriels, Problèmes mathématiques et logiques, Problèmes scientifiques et expérimentaux;Réaliser un projet, Travailler en groupe, Faire des sorties / visites de terrain, Faire des recherches documentaires, Faire des présentations / exposés;Équilibré entre Théorie et Pratique;Travail avec des tâches variées;Tribunal / administration juridique;bricolage, histoire, programmation;En grande équipe;Travailler dans mon domaine de passion, Résoudre des problèmes, Avoir un métier stable, Travailler avec des personnes, Utiliser mes matières préférées;Non;;;
2026-08-30 23:53:17.000000;Étudiant(e);Série A1 /Série A2;Philosophie, Français / Langues, Histoire / Géographie, Économie;Français / Langues, Histoire / Géographie, Philosophie, Chimie;Rédiger, Argumenter, Mémoriser, Observer, Calculer;Défendre une idée ou argumenter, Étudier des lois, règles et réglementations, Communiquer et travailler avec des personnes, Travailler dans l'agriculture ou l'élevage;Problèmes liés à la gestion d'une organisation, Problèmes liés à la communication et au commerce, Problèmes juridiques et réglementaires;Réaliser des expériences, Faire des sorties / visites de terrain, Faire des présentations / exposés, Faire des travaux pratiques, Réaliser un projet;Orienté fortement Théorie, Leçons;Travail avec des tâches variées;Commerce / magasin;jardinage, chant, animaux, langues;En grande équipe;Faire quelque chose que j'aime, Utiliser mes points forts, Avoir un métier stable, Pouvoir évoluer professionnellement;Non;;;
2026-08-26 15:26:38.000000;Professionnel(le) diplômé(e) / Actif(ve);Série L;Histoire / Géographie, Philosophie, Français / Langues;Français / Langues, Histoire / Géographie, Philosophie, Sciences de la vie / Biologie, Mathématiques;Rédiger, Argumenter, Mémoriser, Observer;Défendre une idée ou argumenter, Étudier des lois, règles et réglementations, Communiquer et travailler avec des personnes;Problèmes liés à la gestion d'une organisation, Je ne sais pas encore, Problèmes juridiques et réglementaires, Problèmes liés à la communication et au commerce;Faire des présentations / exposés, Faire des travaux pratiques, Faire des recherches documentaires;Orienté fortement Théorie, Leçons;Travail principalement régulier et structuré;Atelier;sport, langues, jardinage, astronomie;En grande équipe;Travailler avec des technologies, Faire quelque chose que j'aime;Non;;Ingénieur logiciel;1
2026-08-22 14:03:16.000000;Étudiant(e);Série D;Sciences de la vie / Biologie, Mathématiques, Chimie, Histoire / Géographie;Sciences de la vie / Biologie, Chimie, Mathématiques, Technologie / Sciences industrielles, Économie;Observer, Expérimenter, Résoudre des problèmes, Analyser des informations;Étudier le vivant, les plantes ou les animaux, Réaliser des expériences en laboratoire, Observer et comprendre des phénomènes scientifiques;Problèmes liés à la santé, aux médicaments ou aux produits biologiques, Problèmes liés à l'agriculture et à l'élevage, Problèmes scientifiques et expérimentaux;Faire des travaux pratiques, Faire des recherches documentaires, Faire des présentations / exposés;Orienté fortement Théorie, Leçons;Je ne sais pas encore;Chantier;cuisine, marketing, écriture;En binôme;Avoir de bonnes opportunités d'emploi, Résoudre des problèmes;Non;;;
2026-08-30 06:30:41.000000;Étudiant(e);Série L;Histoire / Géographie, Français / Langues;Français / Langues, Histoire / Géographie, Philosophie;Rédiger, Argumenter, Mémoriser, Observer, Diriger une équipe, Travailler avec des personnes;Défendre une idée ou argumenter, Étudier des lois, règles et réglementations, Communiquer et travailler avec des personnes, Concevoir des systèmes techniques, Concevoir et construire des objets ou infrastructures;Problèmes juridiques et réglementaires, Problèmes liés à la gestion d'une organisation, Problèmes liés à la communication et au commerce;Faire des présentations / exposés, Travailler en groupe, Faire des sorties / visites de terrain, Réaliser des expériences;Orienté fortement Théorie, Leçons;Travail principalement régulier et structuré;Entreprise / organisation;électronique;Avec beaucoup de contacts avec des clients / utilisateurs;Travailler avec des personnes, Utiliser mes matières préférées, Être utile à la société, Pouvoir évoluer professionnellement;Oui;EMP : Economie et Management de Projet;;
2026-08-21 20:03:53.000000;Étudiant(e);Série Technique;Physique, Mathématiques, Technologie / Sciences industrielles;Technologie / Sciences industrielles, Mathématiques, Physique;Manipuler des outils, Dessiner / concevoir, Résoudre des problèmes, Calculer, Argumenter;Concevoir des systèmes techniques, Comprendre et utiliser des machines, Concevoir et construire des objets ou infrastructures;Problèmes techniques et industriels, Problèmes liés à la construction et aux infrastructures;Faire des travaux pratiques, Faire des recherches documentaires, Réaliser des expériences, Faire des présentations / exposés;Orienté fortement Théorie, Leçons;Travail principalement régulier et structuré;Bureau / administration;danse;Avec beaucoup de contacts avec des partenaires;Avoir un métier stable, Travailler avec des personnes, Avoir de bonnes opportunités d'emploi, Utiliser mes matières préférées, Utiliser mes points forts;Non;;;
2026-08-27 09:20:34.000000;Professionnel(le) diplômé(e) / Actif(ve);Série A1 /Série A2;Histoire / Géographie, Français / Langues, Arts / Design;Français / Langues, Histoire / Géographie, Philosophie;Rédiger, Argumenter, Mémoriser, Observer;Défendre une idée ou argumenter, Étudier des lois, règles et réglementations, Communiquer et travailler avec des personnes;Problèmes juridiques et réglementaires, Problèmes liés à la gestion d'une organisation, Problèmes liés à la communication et au commerce;Faire des présentations / exposés, Travailler en groupe, Faire des sorties / visites de terrain;Orienté très fortement Pratique & Projets;Je ne sais pas encore;Commerce / magasin;entrepreneuriat, robotique, architecture;Avec beaucoup de contacts avec des clients / utilisateurs;Utiliser mes points forts, Créer ma propre entreprise;Oui;DTJA : Droit et Techniques Juridiques des Affaires;Ingénieur environnement;3
2026-08-25 22:47:43.000000;Étudiant(e);Série OSE;Français / Langues, Sciences de la vie / Biologie, Économie;Sciences de la vie / Biologie, Histoire / Géographie, Économie;Organiser, Communiquer, Travailler avec des personnes, Mémoriser;Organiser et coordonner des projets, Gérer une entreprise ou une organisation, Analyser des chiffres et des données;Problèmes liés à l'environnement, Problèmes économiques et financiers;Faire des recherches documentaires, Résoudre des exercices, Faire des présentations / exposés, Réaliser un projet, Faire des sorties / visites de terrain;Orienté fortement Théorie, Leçons;Travail principalement régulier et structuré;Milieu rural;marketing, géopolitique, animaux;Avec beaucoup de contacts avec des partenaires;Utiliser mes points forts, Créer ma propre entreprise, Travailler avec des personnes, Travailler dans mon domaine de passion, Résoudre des problèmes;Non;;;
2026-08-28 19:54:53.000000;Étudiant(e);Série OSE;Sciences de la vie / Biologie, Histoire / Géographie, Français / Langues, Économie;Sciences de la vie / Biologie, Histoire / Géographie;Organiser, Communiquer, Travailler avec des personnes, Programmer, Expérimenter;Organiser et coordonner des projets, Gérer une entreprise ou une organisation, Travailler dans l'agriculture ou l'élevage, Défendre une idée ou argumenter;Problèmes liés à l'environnement, Problèmes économiques et financiers;Participer à des simulations ou études de cas, Faire des travaux pratiques, Réaliser des expériences;Orienté très fortement Pratique & Projets;Travail avec des tâches variées;Chantier;programmation;En petite équipe;Travailler avec des technologies, Avoir un métier stable, Créer ma propre entreprise, Travailler avec des personnes, Être utile à la société;Non;;;
2026-08-29 09:21:15.000000;Étudiant(e);Série L;Philosophie, Français / Langues, Histoire / Géographie, Gestion / Comptabilité;Français / Langues, Histoire / Géographie, Philosophie, Gestion / Comptabilité;Rédiger, Argumenter, Mémoriser, Observer, Programmer;Défendre une idée ou argumenter, Étudier des lois, règles et réglementations, Communiquer et travailler avec des personnes, Faire des calculs et résoudre des problèmes mathématiques;Problèmes liés à la gestion d'une organisation, Problèmes liés à la communication et au commerce, Problèmes juridiques et réglementaires;Réaliser un projet, Faire des recherches documentaires;Orienté très fortement Pratique & Projets;Travail avec des tâches variées;Terrain agricole;mathématiques, langues, dessin, mode;Avec beaucoup de contacts avec des clients / utilisateurs;Avoir un salaire intéressant, Travailler dans un domaine scientifique, Faire quelque chose que j'aime, Avoir un métier stable;Oui;TEH : Tourisme , Environnement et Hôtellerie;;
2026-08-25 18:13:08.000000;Étudiant(e);Série OSE;Histoire / Géographie, Sciences de la vie / Biologie, Français / Langues, Économie;Sciences de la vie / Biologie, Histoire / Géographie, Chimie, Arts / Design;Organiser, Communiquer, Travailler avec des personnes, Résoudre des problèmes;Organiser et coordonner des projets, Gérer une entreprise ou une organisation;Problèmes liés à l'environnement, Problèmes économiques et financiers;Faire des recherches documentaires, Réaliser un projet, Travailler en groupe;Orienté très fortement Pratique & Projets;Je ne sais pas encore;Terrain agricole;théâtre, jardinage, astronomie;Avec beaucoup de contacts avec des clients / utilisateurs;Pouvoir évoluer professionnellement, Avoir un métier stable, Résoudre des problèmes;Oui;EMP : Economie et Management de Projet;;
2026-08-30 05:28:05.000000;Professionnel(le) diplômé(e) / Actif(ve);Série Technique;Technologie / Sciences industrielles, Mathématiques;Technologie / Sciences industrielles, Mathématiques, Physique, Français / Langues;Manipuler des outils, Dessiner / concevoir, Résoudre des problèmes, Calculer, Analyser des informations, Communiquer;Concevoir des systèmes techniques, Comprendre et utiliser des machines, Concevoir et construire des objets ou infrastructures;Problèmes liés aux machines et aux systèmes, Problèmes techniques et industriels;Réaliser un projet, Faire des présentations / exposés, Faire des travaux pratiques;Équilibré entre Théorie et Pratique;Travail avec des tâches variées;Environnement naturel;jeux vidéo;Seul(e);Travailler dans un domaine scientifique, Avoir un salaire intéressant, Utiliser mes matières préférées, Travailler avec des technologies;Non;;Directeur marketing;5
2026-08-30 18:16:13.000000;Étudiant(e);Série D;Mathématiques, Physique, Français / Langues;Sciences de la vie / Biologie, Chimie, Mathématiques;Observer, Expérimenter, Résoudre des problèmes, Analyser des informations, Organiser, Manipuler des outils;Étudier le vivant, les plantes ou les animaux, Réaliser des expériences en laboratoire, Observer et comprendre des phénomènes scientifiques, Défendre une idée ou argumenter, Faire de la recherche scientifique;Problèmes liés à la santé, aux médicaments ou aux produits biologiques, Problèmes liés à l'agriculture et à l'élevage, Problèmes scientifiques et expérimentaux;Participer à des simulations ou études de cas, Faire des recherches documentaires;Orienté très fortement Pratique & Projets;Travail avec des tâches variées;Usine / environnement industriel;lecture;En binôme;Faire quelque chose que j'aime, Être utile à la société, Faire de la recherche, Pouvoir évoluer professionnellement;Non;;;
2026-08-20 01:00:52.000000;Étudiant(e);Série A1 /Série A2;Français / Langues, Philosophie;Français / Langues, Histoire / Géographie, Philosophie, Chimie, Physique;Rédiger, Argumenter, Mémoriser, Observer, Calculer, Communiquer;Défendre une idée ou argumenter, Étudier des lois, règles et réglementations, Communiquer et travailler avec des personnes, Comprendre et utiliser des machines;Problèmes liés à la communication et au commerce, Problèmes juridiques et réglementaires, Problèmes liés à la gestion d'une organisation;Résoudre des exercices, Réaliser des expériences;Équilibré entre Théorie et Pratique;Travail avec des tâches variées;Environnement naturel;physique, électronique, économie;En petite équipe;Créer ma propre entreprise, Être utile à la société, Utiliser mes points forts, Faire quelque chose que j'aime;Non;;;
2026-08-25 22:35:16.000000;Étudiant(e);Autre;Français / Langues, Histoire / Géographie, Arts / Design;Français / Langues, Histoire / Géographie, Gestion / Comptabilité;Organiser, Communiquer, Travailler avec des personnes;Organiser et coordonner des projets, Gérer une entreprise ou une organisation, Découvrir et faire découvrir des cultures, Défendre une idée ou argumenter;Problèmes économiques et financiers, Problèmes liés à l'environnement;Résoudre des exercices, Faire des recherches documentaires, Réaliser des expériences;Équilibré entre Théorie et Pratique;Travail avec des tâches variées;Terrain agricole;environnement, jeux vidéo, cuisine;En petite équipe;Avoir un métier stable, Avoir un salaire intéressant;Oui;TEH : Tourisme , Environnement et Hôtellerie;;
2026-08-27 06:22:22.000000;Professionnel(le) diplômé(e) / Actif(ve);Série Technique;Technologie / Sciences industrielles, Mathématiques;Technologie / Sciences industrielles, Mathématiques, Physique, Français / Langues;Manipuler des outils, Dessiner / concevoir, Résoudre des problèmes, Calculer;Concevoir des systèmes techniques, Comprendre et utiliser des machines, Concevoir et construire des objets ou infrastructures;Problèmes liés à la construction et aux infrastructures, Problèmes techniques et industriels, Problèmes liés aux machines et aux systèmes;Faire des travaux pratiques, Faire des présentations / exposés, Réaliser des expériences, Participer à des simulations ou études de cas;Orienté fortement Théorie, Leçons;Travail avec des tâches variées;Chantier;physique, animaux, cuisine;En grande équipe;Être utile à la société, Avoir la possibilité de travailler à l'étranger;Oui;ESIIA : Electronique Système Informatique et Intelligence Artificielle;Consultant;3
2026-08-22 03:19:19.000000;Étudiant(e);Série D;Mathématiques, Chimie, Physique;Sciences de la vie / Biologie, Chimie, Mathématiques;Observer, Expérimenter, Résoudre des problèmes, Analyser des informations, Manipuler des outils, Mémoriser;Étudier le vivant, les plantes ou les animaux, Réaliser des expériences en laboratoire, Observer et comprendre des phénomènes scientifiques, Travailler dans le tourisme, Comprendre et utiliser des machines;Problèmes liés à l'agriculture et à l'élevage, Problèmes liés à la santé, aux médicaments ou aux produits biologiques;Participer à des simulations ou études de cas, Travailler en groupe, Faire des travaux pratiques, Faire des sorties / visites de terrain, Réaliser des expériences;Orienté fortement Théorie, Leçons;Travail avec des tâches variées;Banque / institution financière;écriture, finance;Cela m'est égal;Faire de la recherche, Avoir un salaire intéressant, Avoir la possibilité de travailler à l'étranger, Faire quelque chose que j'aime;Oui;PIP : Pharmacologie et Industries Pharmaceutiques;;
2026-08-29 03:06:01.000000;Étudiant(e);Autre;Français / Langues, Histoire / Géographie, Informatique;Français / Langues, Histoire / Géographie, Arts / Design, Chimie;Organiser, Communiquer, Travailler avec des personnes, Rédiger;Organiser et coordonner des projets, Gérer une entreprise ou une organisation;Problèmes liés à l'environnement, Problèmes économiques et financiers;Faire des présentations / exposés, Participer à des simulations ou études de cas, Faire des travaux pratiques, Travailler en groupe, Faire des recherches documentaires;Orienté fortement Théorie, Leçons;Je ne sais pas encore;Environnement informatique / numérique;économie, mode, jardinage;Avec beaucoup de contacts avec des clients / utilisateurs;Travailler avec des technologies, Utiliser mes matières préférées, Être utile à la société;Non;;;
2026-08-30 12:53:41.000000;Étudiant(e);Série OSE;Sciences de la vie / Biologie, Histoire / Géographie, Français / Langues, Économie;Sciences de la vie / Biologie, Histoire / Géographie, Mathématiques;Organiser, Communiquer, Travailler avec des personnes, Calculer;Organiser et coordonner des projets, Gérer une entreprise ou une organisation, Étudier les propriétés des substances et des matériaux, Développer des logiciels ou utiliser des technologies numériques;Problèmes liés à l'environnement, Problèmes économiques et financiers;Travailler en groupe, Faire des présentations / exposés, Participer à des simulations ou études de cas;Orienté très fortement Pratique & Projets;Je ne sais pas encore;Centre de recherche;économie, mathématiques, jardinage;En binôme;Faire quelque chose que j'aime, Créer ma propre entreprise, Pouvoir évoluer professionnellement, Utiliser mes matières préférées;Non;;;
2026-08-22 13:17:27.000000;Étudiant(e);Série S;Physique, Chimie;Mathématiques, Physique, Chimie, Technologie / Sciences industrielles;Calculer, Analyser des informations, Résoudre des problèmes, Expérimenter, Diriger une équipe, Communiquer;Analyser des chiffres et des données, Faire des calculs et résoudre des problèmes mathématiques, Observer et comprendre des phénomènes scientifiques, Gérer les finances et la comptabilité;Problèmes mathématiques et logiques, Problèmes scientifiques et expérimentaux;Faire des travaux pratiques, Réaliser un projet, Résoudre des exercices, Faire des recherches documentaires;Orienté très fortement Pratique & Projets;Travail principalement régulier et structuré;Établissement de santé / pharmaceutique;chimie, photographie;En grande équipe;Utiliser mes matières préférées, Travailler dans mon domaine de passion;Oui;ICMP : Industries Chimiques, Minières et Pétrolières;;
2026-08-21 10:49:10.000000;Professionnel(le) diplômé(e) / Actif(ve);Série Technique;Physique, Technologie / Sciences industrielles;Technologie / Sciences industrielles, Mathématiques, Physique, Économie;Manipuler des outils, Dessiner / concevoir, Résoudre des problèmes, Calculer, Travailler avec des personnes, Mémoriser;Concevoir des systèmes techniques, Comprendre et utiliser des machines, Concevoir et construire des objets ou infrastructures, Développer des logiciels ou utiliser des technologies numériques, Découvrir et faire découvrir des cultures;Problèmes liés à la construction et aux infrastructures, Problèmes techniques et industriels, Problèmes liés aux machines et aux systèmes;Réaliser des expériences, Faire des recherches documentaires, Faire des présentations / exposés, Réaliser un projet, Participer à des simulations ou études de cas;Orienté fortement Théorie, Leçons;Je ne sais pas encore;Commerce / magasin;langues, chant, architecture;Avec beaucoup de contacts avec des clients / utilisateurs;Résoudre des problèmes, Faire de la recherche, Avoir de bonnes opportunités d'emploi, Avoir la possibilité de travailler à l'étranger, Faire quelque chose que j'aime;Oui;ESIIA : Electronique Système Informatique et Intelligence Artificielle;Ingénieur logiciel;2
2026-08-29 14:59:26.000000;Professionnel(le) diplômé(e) / Actif(ve);Série OSE;Sciences de la vie / Biologie, Français / Langues, Économie;Sciences de la vie / Biologie, Histoire / Géographie, Arts / Design;Organiser, Communiquer, Travailler avec des personnes;Organiser et coordonner des projets, Gérer une entreprise ou une organisation, Concevoir des systèmes techniques;Problèmes liés à l'environnement, Problèmes économiques et financiers;Travailler en groupe, Faire des présentations / exposés, Réaliser des expériences;Équilibré entre Théorie et Pratique;Travail principalement régulier et structuré;Commerce / magasin;jeux vidéo, chimie, design;En petite équipe;Faire de la recherche, Pouvoir évoluer professionnellement, Avoir un métier stable;Non;;Biochimiste;1
2026-08-27 17:58:12.000000;Étudiant(e);Série C;Chimie, Mathématiques, Technologie / Sciences industrielles;Mathématiques, Physique, Chimie, Arts / Design, Sciences de la vie / Biologie;Calculer, Analyser des informations, Résoudre des problèmes, Expérimenter;Analyser des chiffres et des données, Faire des calculs et résoudre des problèmes mathématiques, Observer et comprendre des phénomènes scientifiques, Étudier le vivant, les plantes ou les animaux, Organiser et coordonner des projets;Problèmes techniques et industriels, Problèmes mathématiques et logiques;Faire des travaux pratiques, Faire des présentations / exposés;Équilibré entre Théorie et Pratique;Travail avec des tâches variées;Centre de recherche;cinéma;Seul(e);Avoir un métier stable, Avoir de bonnes opportunités d'emploi, Avoir un salaire intéressant, Utiliser mes matières préférées;Oui;ISAIA : Informatique Statistique Appliquée et Intelligence Artificielle;;
2026-08-21 01:20:15.000000;Professionnel(le) diplômé(e) / Actif(ve);Série C;Physique, Mathématiques, Chimie, Technologie / Sciences industrielles;Mathématiques, Physique, Chimie;Calculer, Analyser des informations, Résoudre des problèmes, Expérimenter;Analyser des chiffres et des données, Faire des calculs et résoudre des problèmes mathématiques, Observer et comprendre des phénomènes scientifiques;Problèmes scientifiques et expérimentaux, Problèmes mathématiques et logiques, Problèmes techniques et industriels;Faire des sorties / visites de terrain, Participer à des simulations ou études de cas, Travailler en groupe, Réaliser un projet;Orienté très fortement Pratique & Projets;Travail avec des tâches variées;Tribunal / administration juridique;lecture, environnement;En binôme;Pouvoir évoluer professionnellement, Travailler dans un domaine scientifique, Travailler avec des technologies, Faire de la recherche, Avoir la possibilité de travailler à l'étranger;Oui;IMTICIA : Informatique Multimédia Technologie de L'information et de la Communication et Intelligence Artificielle;Pharmacien;4
2026-08-29 07:29:04.000000;Étudiant(e);Série A1 /Série A2;Philosophie, Français / Langues;Français / Langues, Histoire / Géographie, Philosophie, Technologie / Sciences industrielles;Rédiger, Argumenter, Mémoriser, Observer, Manipuler des outils;Défendre une idée ou argumenter, Étudier des lois, règles et réglementations, Communiquer et travailler avec des personnes, Faire de la recherche scientifique;Problèmes liés à la communication et au commerce, Problèmes liés à la gestion d'une organisation, Problèmes juridiques et réglementaires;Travailler en groupe, Réaliser des expériences, Faire des recherches documentaires;Équilibré entre Théorie et Pratique;Je ne sais pas encore;Milieu rural;mode, finance, danse, astronomie;Cela m'est égal;Créer ma propre entreprise, Travailler dans un domaine scientifique, Avoir un salaire intéressant, Travailler dans mon domaine de passion;Oui;EMP : Economie et Management de Projet;;
