Horodateur,Vous êtes actuellement :,Quelle était votre série au Baccalauréat ?,Quelles étaient vos matières préférées au lycée ?,Dans quelles matières vous étiez doués?,Dans quelles activités pensez-vous être naturellement à l'aise ?,"Parmi les activités suivantes, lesquelles vous attirent le plus ?",Quel type de problème aimez-vous le plus résoudre ?,Quel type d'activité pédagogique vous attire le plus ?,Aimez-vous plutôt la pratique ou les leçons (théorie) ?,Quel rythme de travail vous correspond le mieux ?,Dans quel environnement aimeriez-vous travailler ?,Quels sont vos domaines d'intérêt principaux ?,Préférez-vous travailler principalement,Qu'est-ce qui est le plus important pour vous dans le choix d'une formation ?,"si vous devenez etudiant à l'ISPM, quel filière choisiriez vous?","Si vous êtes diplômé(e) / professionnel(le), quel est votre métier actuel ?","Si vous êtes diplômés, avec le recul, quel est votre niveau de satisfaction concernant l'adéquation entre votre formation et votre métier ?"
2026-08-17 15:49:40,Étudiant(e),S,Mathématiques; Gestion,Économie; Mathématiques,Organiser; Analyser des données,Gérer; Faire des calculs,Problèmes financiers,Travaux pratiques; Exercices,Pratique et théorie,Régulier,Bureau,Audit; Banque; Comptabilité,Seul ou en équipe,La stabilité professionnelle,IGGLIA,Technicien informatique,2.0
2026-07-11 14:06:51,Étudiant(e),G,Mathématiques; Économie; Gestion,Économie,Être rigoureux; Analyser des données,Analyser des comptes; Faire des calculs,Problèmes financiers,Études de cas,Pratique et théorie,Régulier,Entreprise; Cabinet,Comptabilité; Gestion; Banque,Seul,Les perspectives de carrière,FIC,Comptable,5.0
2026-08-06 17:40:50,Étudiant(e),C,Mathématiques; Chimie; Physique,SVT; Physique,Résoudre des problèmes; Expérimenter; Analyser,Concevoir; Rechercher,Problèmes scientifiques,Recherche,Pratique et théorie,Intensif et régulier,Centre de recherche,Recherche; Technologie; Sciences; Environnement,En équipe,Acquérir une formation solide,GCA,Chercheur,2.0
2026-07-19 12:03:56,Professionnel(le),A2,Français; Histoire,Français,Rédiger; Créer; Présenter,Créer du contenu; Communiquer; Présenter,Problèmes de communication,Présentations; Travaux de groupe,Pratique,Dynamique,Agence; Média,Événementiel; Médias; Marketing,En équipe,La possibilité d'évoluer professionnellement,PIP,Technicien en pharmacie,5.0
2026-08-08 17:29:26,Professionnel(le),A1,Anglais; Histoire,Histoire,Communiquer; Argumenter; Analyser des textes; Rédiger,Faire des recherches; Rédiger,Problèmes juridiques et sociaux,Débats; Lectures,Théorie,Régulier,Institution publique,Administration; Justice; Société; Droits humains,Seul,Aimer le domaine étudié,DTJA,Assistant juridique,3.0
2026-07-06 17:52:49,Étudiant(e),A1,Économie; Mathématiques,Économie,Négocier; Analyser; Communiquer; Organiser,Analyser un marché; Communiquer; Faire du commerce; Négocier,Problèmes commerciaux,Études de cas,Pratique,Dynamique,Agence,Entrepreneuriat; Vente,En équipe,Créer mon entreprise,CAA,Commercial,4.0
2026-07-31 17:57:45,Étudiant(e),C,Physique; SVT,Physique,Observer; Analyser; Manipuler des outils ou équipements,Faire des expériences; Mesurer,Problèmes scientifiques et expérimentaux,Laboratoire,Pratique et théorie,Progressif,Industrie,Industrie; Environnement; Laboratoire,En équipe,Aimer le domaine étudié,EMII,Technicien qualité,2.0
2026-07-11 12:46:51,Étudiant(e),C,Chimie; Physique,Mathématiques,Observer; Analyser; Résoudre des problèmes; Expérimenter,Concevoir; Analyser; Faire des expériences,Problèmes scientifiques,Expériences,Pratique et théorie,Intensif et régulier,Industrie; Laboratoire,Sciences; Recherche; Technologie; Environnement,Seul ou en équipe,Être utile à la société,IMTICIA,Assistant de recherche,2.0
2026-08-13 14:04:45,Professionnel(le),A1,Français; Économie,Français,Communiquer; Négocier; Organiser,Négocier; Communiquer; Faire du commerce,Problèmes commerciaux,Études de cas; Simulations,Pratique,Intensif,Entreprise; Commerce,Commerce; Marketing; Entrepreneuriat,En équipe,Les débouchés professionnels,TEE,Responsable marketing,3.0
2026-07-29 11:52:12,Étudiant(e),S,Physique; Anglais,Mathématiques; Informatique,Analyser des informations; Utiliser des outils informatiques,Analyser des données; Automatiser des tâches; Créer des applications; Programmer,Problèmes logiques et techniques,Programmation,Pratique et théorie,Intensif et régulier,Entreprise,Intelligence artificielle; Data,Seul ou en petite équipe,Travailler dans un secteur innovant,IGGLIA,Data scientifique,3.0
2026-08-08 15:14:55,Professionnel(le),S,Mathématiques; Physique,Mathématiques,Expérimenter; Analyser; Observer; Manipuler des outils ou équipements,Mesurer; Rechercher; Faire des expériences,Problèmes scientifiques et expérimentaux,Travaux pratiques,Pratique,Régulier,Industrie,Chimie; Environnement,Seul ou en équipe,Aimer le domaine étudié,IMTICIA,Chercheur,4.0
2026-07-14 09:35:06,Professionnel(le),S,Mathématiques; Gestion; Français,Mathématiques; Économie,Calculer; Organiser,Planifier; Gérer un projet; Analyser un marché,Problèmes économiques et organisationnels,Exercices pratiques,Pratique et théorie,Régulier,Entreprise,Entrepreneuriat; Management,Seul ou en équipe,Les débouchés professionnels,EMII,Chef de projet,5.0
2026-07-24 13:23:56,Étudiant(e),S,Mathématiques; Gestion,Économie,Analyser des données; Organiser; Calculer,Planifier; Gérer un projet; Analyser un marché; Organiser,Problèmes économiques et organisationnels,Études de cas; Exercices pratiques,Pratique,Régulier,Entreprise; Administration,Économie; Management; Gestion; Entrepreneuriat,Seul ou en équipe,Les débouchés professionnels,IGGLIA,Technicien informatique,1.0
2026-08-08 16:45:46,Professionnel(le),C,Chimie; Physique; SVT,Physique,Expérimenter; Manipuler des outils ou équipements; Observer; Analyser,Analyser des substances; Rechercher,Problèmes scientifiques et expérimentaux,Expériences,Pratique,Progressif,Laboratoire,Recherche; Chimie,Seul ou en équipe,Aimer le domaine étudié,GCA,Chercheur,2.0
2026-07-17 12:19:30,Professionnel(le),S,Physique; Mathématiques; Anglais,Mathématiques; Informatique,Résoudre des problèmes logiques; Analyser des informations; Travailler avec des données; Utiliser des outils informatiques,Programmer; Analyser des données; Créer des applications; Automatiser des tâches,Problèmes logiques et techniques,Programmation,Pratique et théorie,Intensif et régulier,Bureau; Télétravail,Data; Robotique,Seul ou en petite équipe,Développer des compétences professionnelles,ISAIA,Ingénieur IA,2.0
2026-08-18 13:29:48,Étudiant(e),G,Français; Économie,Français; Économie,Communiquer; Analyser; Négocier; Organiser,Analyser un marché; Négocier; Faire du commerce,Problèmes commerciaux,Projets,Pratique et théorie,Dynamique,Commerce,Commerce; Entrepreneuriat; Vente; Marketing,En équipe,Les débouchés professionnels,CAA,Business developer,1.0
2026-08-21 10:15:29,Étudiant(e),G,Économie; Gestion,Mathématiques,Organiser; Être rigoureux,Gérer; Faire des calculs; Analyser des données,Problèmes financiers,Exercices; Travaux pratiques,Théorie et pratique,Régulier,Entreprise; Bureau,Finance; Comptabilité; Banque,Seul ou en équipe,La stabilité professionnelle,FIC,Analyste financier,3.0
2026-07-14 13:27:25,Étudiant(e),A1,Philosophie; Histoire,Histoire,Rédiger; Analyser des textes; Argumenter; Communiquer,Rédiger; Débattre,Problèmes juridiques et sociaux,Études de cas,Pratique et théorie,Calme et régulier,Tribunal; Cabinet,Droit; Société; Justice; Administration,Seul ou en équipe,La reconnaissance du diplôme,DTJA,Juriste,3.0
2026-08-13 16:22:45,Étudiant(e),A1,Français; Anglais; Histoire,Français; Anglais,Créer; Communiquer; Rédiger; Présenter,Créer du contenu; Présenter; Communiquer; Organiser des événements,Problèmes de communication,Présentations,Pratique,Intensif et régulier,Agence; Studio,Événementiel; Médias; Marketing; Communication,En équipe,La possibilité d'évoluer professionnellement,TEH,Community manager,4.0
2026-07-11 12:57:25,Étudiant(e),A2,Français; Mathématiques; Économie,Français; Économie,Communiquer; Négocier; Analyser; Organiser,Analyser un marché; Négocier; Communiquer; Faire du commerce,Problèmes commerciaux,Simulations; Projets,Pratique,Dynamique,Commerce,Marketing; Commerce; Vente; Entrepreneuriat,En équipe,Les débouchés professionnels,PIP,Chimiste,1.0
2026-07-01 11:42:10,Étudiant(e),A2,Philosophie; Anglais,Philosophie,Rédiger; Argumenter; Analyser des textes; Communiquer,Débattre; Rédiger,Problèmes juridiques et sociaux,Débats,Théorie,Calme et régulier,Cabinet; Administration,Droits humains; Justice; Société; Administration,Seul ou en équipe,Aimer le domaine étudié,PIP,Pharmacien,5.0
2026-08-22 11:36:12,Étudiant(e),G,Mathématiques; Gestion; Économie,Gestion; Économie,Analyser des données; Organiser; Planifier; Calculer,Organiser; Analyser un marché,Problèmes économiques et organisationnels,Exercices pratiques; Projets,Pratique,Dynamique,Entreprise; Bureau,Gestion; Entrepreneuriat,Seul ou en équipe,Les perspectives de carrière,EMP,Chef de projet,3.0
2026-07-02 13:06:41,Étudiant(e),S,Informatique; Anglais; Physique,Informatique,Résoudre des problèmes logiques; Utiliser des outils informatiques,Créer des applications; Analyser des données,Problèmes logiques et techniques,Projets pratiques; Travaux dirigés,Pratique et théorie,Régulier,Télétravail; Bureau,Intelligence artificielle; Technologie; Data,Seul ou en petite équipe,Travailler dans un secteur innovant,IMTICIA,Analyste cyber-sécurité,1.0
2026-07-28 07:29:53,Professionnel(le),S,SVT; Chimie,Mathématiques,Expérimenter; Résoudre des problèmes,Rechercher; Analyser; Faire des expériences; Concevoir,Problèmes scientifiques,Expériences,Pratique et théorie,Régulier,Laboratoire,Recherche; Sciences,En équipe,Être utile à la société,GCA,Chercheur,5.0
2026-08-13 09:30:33,Professionnel(le),G,Français; Histoire; Anglais,Français,Présenter; Créer; Communiquer; Rédiger,Présenter; Créer du contenu; Communiquer,Problèmes de communication,Présentations,Pratique,Intensif et régulier,Agence,Marketing; Événementiel,En équipe,Développer mes compétences relationnelles,TEE,Community manager,4.0
2026-07-03 17:10:58,Professionnel(le),A1,Français; Histoire,Français,Rédiger; Argumenter; Communiquer,Faire des recherches; Débattre,Problèmes juridiques et sociaux,Lectures; Études de cas,Théorie,Régulier,Cabinet; Institution publique,Société; Justice; Droits humains,Seul ou en équipe,La stabilité professionnelle,DTJA,Juriste,3.0
2026-08-09 13:23:28,Professionnel(le),A1,Mathématiques; Gestion; Économie,Économie,Organiser; Analyser des données; Calculer,Planifier; Organiser; Gérer un projet,Problèmes économiques et organisationnels,Exercices pratiques; Projets,Pratique,Dynamique,Administration,Économie; Entrepreneuriat; Management; Gestion,En équipe,Les perspectives de carrière,EMP,Gestionnaire,3.0
2026-07-12 09:29:59,Professionnel(le),D,Physique; Mathématiques; SVT,Physique; Mathématiques,Analyser; Observer; Expérimenter,Rechercher; Concevoir; Analyser; Faire des expériences,Problèmes scientifiques,Expériences; Travaux pratiques,Pratique et théorie,Intensif et régulier,Industrie; Laboratoire,Environnement; Technologie; Recherche,Seul ou en équipe,Acquérir une formation solide,ESIIA,Ingénieur,4.0
2026-07-30 07:51:12,Étudiant(e),A1,Mathématiques; Français; Économie,Économie,Organiser; Analyser; Négocier; Communiquer,Faire du commerce; Négocier,Problèmes commerciaux,Simulations,Pratique et théorie,Intensif,Agence; Commerce,Marketing; Commerce,En équipe,Les perspectives de carrière,CAA,Chargé marketing,3.0
2026-08-20 10:20:21,Étudiant(e),G,Gestion; Mathématiques,Mathématiques; Économie,Être rigoureux; Calculer,Analyser des données; Analyser des comptes,Problèmes financiers,Études de cas; Travaux pratiques,Théorie et pratique,Intensif et régulier,Cabinet,Comptabilité; Audit,Seul ou en équipe,La stabilité professionnelle,FIC,Analyste financier,1.0
2026-07-28 14:03:03,Étudiant(e),S,Physique; Chimie; SVT,SVT,Analyser; Résoudre des problèmes,Analyser; Concevoir,Problèmes scientifiques,Expériences,Pratique et théorie,Intensif et régulier,Laboratoire; Industrie,Environnement; Recherche; Sciences,Seul ou en équipe,Acquérir une formation solide,EMII,Chercheur,3.0
2026-08-08 10:27:12,Étudiant(e),S,Gestion; Français,Gestion; Économie,Analyser des données; Organiser; Planifier,Planifier; Gérer un projet; Analyser un marché,Problèmes économiques et organisationnels,Études de cas; Exercices pratiques,Pratique et théorie,Dynamique,Administration,Gestion; Économie,En équipe,Créer mon entreprise,IMTICIA,Chef de projet,1.0
2026-08-05 10:53:34,Étudiant(e),S,Mathématiques; Gestion; Économie,Mathématiques,Calculer; Être rigoureux,Gérer; Analyser des comptes; Faire des calculs; Analyser des données,Problèmes financiers,Études de cas; Exercices,Théorie et pratique,Régulier,Bureau,Comptabilité; Audit,Seul ou en équipe,La stabilité professionnelle,ISAIA,Assistant de recherche,5.0
2026-07-06 13:56:11,Professionnel(le),A2,Mathématiques; Français; Économie,Français; Économie,Organiser; Communiquer,Communiquer; Faire du commerce; Analyser un marché; Négocier,Problèmes commerciaux,Simulations,Pratique et théorie,Dynamique,Commerce,Commerce; Entrepreneuriat,En équipe,Les perspectives de carrière,PIP,Technicien en pharmacie,3.0
2026-07-03 13:33:10,Professionnel(le),S,Anglais; Physique,Mathématiques,Analyser des informations; Utiliser des outils informatiques; Résoudre des problèmes logiques; Travailler avec des données,Automatiser des tâches; Créer des applications; Programmer; Analyser des données,Problèmes logiques et techniques,Programmation,Pratique et théorie,Régulier,Bureau; Télétravail,Intelligence artificielle; Data; Robotique; Technologie,Seul ou en petite équipe,Développer des compétences professionnelles,ISAIA,Ingénieur IA,1.0
2026-07-08 07:40:50,Étudiant(e),A1,Français; Anglais,Philosophie,Argumenter; Communiquer,Débattre; Rédiger; Lire des documents,Problèmes juridiques et sociaux,Lectures,Théorie,Calme et régulier,Administration,Droits humains; Société; Droit,Seul,La stabilité professionnelle,DTJA,Conseiller juridique,2.0
2026-08-13 08:31:14,Étudiant(e),A2,Français; Anglais,Français,Présenter; Créer; Rédiger,Communiquer; Créer du contenu; Présenter; Organiser des événements,Problèmes de communication,Travaux de groupe; Présentations,Pratique et théorie,Dynamique,Média; Studio,Médias; Marketing; Communication; Publicité,En équipe,Développer son réseau professionnel,PIP,Chimiste,1.0
2026-07-11 17:04:24,Étudiant(e),S,Économie; Français,Gestion; Économie,Organiser; Planifier; Analyser des données; Calculer,Organiser; Analyser un marché; Gérer un projet; Planifier,Problèmes économiques et organisationnels,Projets,Pratique et théorie,Régulier,Administration; Bureau,Économie; Entrepreneuriat,En équipe,Les perspectives de carrière,ESIIA,Technicien informatique,4.0
2026-08-06 08:50:41,Étudiant(e),G,Gestion; Économie; Mathématiques,Gestion; Économie,Calculer; Organiser,Planifier; Analyser un marché; Gérer un projet; Organiser,Problèmes économiques et organisationnels,Exercices pratiques; Projets,Pratique,Dynamique,Bureau; Administration,Économie; Gestion,Seul ou en équipe,Créer mon entreprise,EMP,Responsable administratif,3.0
2026-07-02 08:41:31,Étudiant(e),S,Chimie; Mathématiques; SVT,Chimie; Mathématiques,Observer; Analyser; Expérimenter; Manipuler des outils ou équipements,Faire des expériences; Mesurer; Analyser des substances,Problèmes scientifiques et expérimentaux,Expériences,Pratique et théorie,Régulier,Centre de recherche; Industrie,Laboratoire; Chimie,En équipe,Acquérir une formation solide,IAA,Technicien de laboratoire,4.0
2026-07-31 13:07:15,Étudiant(e),S,Informatique; Physique; Mathématiques,Mathématiques; Informatique,Résoudre des problèmes logiques; Analyser des informations,Créer des applications; Analyser des données; Programmer,Problèmes logiques et techniques,Travaux dirigés,Pratique,Intensif et régulier,Télétravail,Data; Intelligence artificielle; Programmation; Robotique,En équipe,Développer des compétences professionnelles,IGGLIA,Ingénieur logiciel,3.0
2026-07-16 10:44:53,Étudiant(e),A2,Économie; Français; Mathématiques,Français; Économie,Communiquer; Analyser,Communiquer; Négocier; Analyser un marché; Faire du commerce,Problèmes commerciaux,Simulations; Projets,Pratique,Intensif,Commerce; Entreprise,Commerce; Vente,En équipe,Les perspectives de carrière,PIP,Spécialiste en réglementaire pharmaceutique,1.0
2026-07-24 16:13:30,Étudiant(e),S,Physique; Informatique; Anglais,Informatique,Utiliser des outils informatiques; Analyser des informations; Résoudre des problèmes logiques,Créer des applications; Analyser des données; Automatiser des tâches; Programmer,Problèmes logiques et techniques,Travaux dirigés; Projets pratiques,Pratique et théorie,Régulier,Entreprise,Data; Intelligence artificielle,Seul ou en petite équipe,Développer des compétences professionnelles,ISAIA,Data scientifique,5.0
2026-07-20 10:29:16,Professionnel(le),A1,Français; Gestion; Mathématiques,Gestion,Planifier; Calculer; Analyser des données; Organiser,Gérer un projet; Organiser; Planifier,Problèmes économiques et organisationnels,Exercices pratiques; Projets,Pratique,Dynamique,Entreprise; Bureau,Économie; Management; Gestion,En équipe,Créer mon entreprise,EMP,Gestionnaire,3.0
2026-08-17 14:50:32,Étudiant(e),S,Économie; Français,Gestion,Analyser des données; Calculer; Planifier,Analyser un marché; Gérer un projet; Organiser,Problèmes économiques et organisationnels,Exercices pratiques; Projets,Pratique,Dynamique,Entreprise; Bureau,Économie; Gestion; Entrepreneuriat; Management,En équipe,Les perspectives de carrière,GCA,Manager,2.0
2026-07-02 17:39:54,Professionnel(le),S,Physique; SVT; Mathématiques,Physique,Expérimenter; Observer; Analyser,Faire des expériences; Rechercher,Problèmes scientifiques,Travaux pratiques,Pratique et théorie,Régulier,Centre de recherche,Sciences; Technologie,Seul ou en équipe,Acquérir une formation solide,IMTICIA,Technicien informatique,1.0
2026-08-16 07:06:12,Étudiant(e),G,Mathématiques; Français; Gestion,Mathématiques; Économie,Analyser des données; Planifier,Analyser un marché; Organiser; Planifier; Gérer un projet,Problèmes économiques et organisationnels,Projets; Exercices pratiques,Pratique,Régulier,Entreprise; Bureau,Gestion; Management; Économie; Entrepreneuriat,En équipe,Les débouchés professionnels,EMP,Gestionnaire,5.0
2026-08-07 10:53:37,Étudiant(e),S,Gestion; Économie; Mathématiques,Économie; Mathématiques,Être rigoureux; Analyser des données; Organiser; Calculer,Analyser des comptes; Faire des calculs; Gérer; Analyser des données,Problèmes financiers,Exercices; Travaux pratiques,Pratique et théorie,Régulier,Bureau; Entreprise,Finance; Audit,Seul ou en équipe,Les débouchés professionnels,IGGLIA,Data analyst,5.0
2026-07-11 16:31:42,Étudiant(e),A1,Anglais; Histoire,Histoire; Français,Rédiger; Communiquer; Argumenter,Rédiger; Débattre,Problèmes juridiques et sociaux,Débats; Lectures,Pratique et théorie,Calme et régulier,Administration,Droits humains; Droit; Justice,Seul ou en équipe,La stabilité professionnelle,DTJA,Avocat,1.0
2026-08-04 14:07:08,Professionnel(le),A1,Gestion; Économie; Mathématiques,Mathématiques,Analyser des données; Organiser,Planifier; Organiser; Gérer un projet; Analyser un marché,Problèmes économiques et organisationnels,Projets,Pratique et théorie,Régulier,Entreprise,Entrepreneuriat; Management; Gestion,Seul ou en équipe,Les débouchés professionnels,EMP,Responsable administratif,4.0
2026-08-12 15:26:15,Professionnel(le),C,Chimie; Mathématiques,Mathématiques; SVT,Expérimenter; Observer; Analyser,Concevoir; Faire des expériences; Analyser,Problèmes scientifiques,Expériences,Pratique et théorie,Intensif et régulier,Industrie; Laboratoire,Environnement; Sciences; Recherche,En équipe,Acquérir une formation solide,EMII,Chercheur,3.0
2026-08-20 16:29:52,Étudiant(e),G,Français; Histoire; Anglais,Anglais,Rédiger; Communiquer,Présenter; Communiquer,Problèmes de communication,Projets,Pratique,Dynamique,Agence,Publicité; Médias,En équipe,Développer son réseau professionnel,TEE,Responsable communication,3.0
2026-08-09 17:53:14,Étudiant(e),A1,Français; Mathématiques,Gestion,Planifier; Analyser des données,Analyser un marché; Organiser; Gérer un projet; Planifier,Problèmes économiques et organisationnels,Projets,Pratique et théorie,Dynamique,Entreprise,Économie; Gestion,Seul ou en équipe,Les perspectives de carrière,EMP,Gestionnaire,2.0
2026-07-11 15:30:33,Professionnel(le),G,Anglais; Français; Histoire,Anglais,Créer; Communiquer; Présenter,Organiser des événements; Communiquer; Créer du contenu,Problèmes de communication,Projets; Travaux de groupe,Pratique et théorie,Dynamique,Entreprise,Communication; Marketing; Événementiel,En équipe,Développer mes compétences relationnelles,TEH,Journaliste,4.0
2026-08-02 08:40:04,Étudiant(e),G,Mathématiques; Gestion,Mathématiques; Économie,Calculer; Être rigoureux; Organiser,Faire des calculs; Analyser des données; Gérer,Problèmes financiers,Exercices,Pratique et théorie,Régulier,Banque,Finance; Audit; Gestion,Seul ou en équipe,Les débouchés professionnels,FIC,Contrôleur de gestion,5.0
2026-08-12 11:57:50,Professionnel(le),A1,Philosophie; Anglais; Histoire,Français,Communiquer; Argumenter,Rédiger; Faire des recherches; Lire des documents,Problèmes juridiques et sociaux,Débats,Théorie,Calme et régulier,Tribunal; Institution publique,Justice; Administration; Droit,Seul,La reconnaissance du diplôme,DTJA,Assistant juridique,1.0
2026-07-01 10:36:19,Étudiant(e),S,Physique; Informatique; Anglais,Mathématiques; Informatique,Résoudre des problèmes logiques; Utiliser des outils informatiques; Analyser des informations,Créer des applications; Analyser des données,Problèmes logiques et techniques,Travaux dirigés; Projets pratiques,Pratique et théorie,Intensif et régulier,Startup; Bureau,Programmation; Data; Robotique; Intelligence artificielle,En équipe,Les débouchés professionnels,IMTICIA,Data analyst,1.0
2026-07-28 09:33:33,Professionnel(le),S,Chimie; SVT; Mathématiques,SVT; Mathématiques,Observer; Résoudre des problèmes; Expérimenter,Rechercher; Faire des expériences; Concevoir; Analyser,Problèmes scientifiques,Travaux pratiques,Pratique et théorie,Intensif et régulier,Laboratoire,Sciences; Technologie; Environnement,Seul ou en équipe,Être utile à la société,GCA,Technicien,5.0
2026-08-01 16:12:43,Étudiant(e),G,Économie; Gestion,Mathématiques,Analyser des données; Organiser,Analyser des données; Faire des calculs; Analyser des comptes; Gérer,Problèmes financiers,Travaux pratiques,Pratique et théorie,Régulier,Banque; Bureau,Audit; Banque; Gestion; Comptabilité,Seul,La stabilité professionnelle,FIC,Contrôleur de gestion,2.0
2026-08-04 09:11:00,Professionnel(le),A1,Gestion; Mathématiques; Français,Économie; Mathématiques,Planifier; Organiser; Calculer; Analyser des données,Organiser; Gérer un projet; Analyser un marché; Planifier,Problèmes économiques et organisationnels,Exercices pratiques; Études de cas,Pratique et théorie,Régulier,Entreprise,Gestion; Entrepreneuriat,En équipe,Les perspectives de carrière,EMP,Manager,4.0
2026-08-17 15:21:52,Étudiant(e),G,Mathématiques; Économie,Économie; Mathématiques,Calculer; Analyser des données; Planifier; Organiser,Planifier; Analyser un marché,Problèmes économiques et organisationnels,Exercices pratiques; Études de cas,Pratique et théorie,Régulier,Entreprise,Économie; Entrepreneuriat; Management; Gestion,En équipe,Les perspectives de carrière,EMP,Manager,2.0
2026-07-12 08:11:53,Étudiant(e),S,Gestion; Mathématiques; Économie,Économie; Mathématiques,Calculer; Être rigoureux; Analyser des données; Organiser,Faire des calculs; Gérer; Analyser des comptes; Analyser des données,Problèmes financiers,Travaux pratiques; Exercices,Théorie et pratique,Intensif et régulier,Entreprise,Finance; Comptabilité; Banque; Audit,Seul,Les débouchés professionnels,IGGLIA,Ingénieur logiciel,4.0
2026-07-22 14:06:06,Professionnel(le),A1,Anglais; Français; Histoire,Français,Communiquer; Présenter; Rédiger,Présenter; Organiser des événements,Problèmes de communication,Présentations,Pratique,Dynamique,Agence,Marketing; Communication,En équipe,La possibilité d'évoluer professionnellement,TEE,Chargé de communication,1.0
2026-08-08 12:22:07,Étudiant(e),S,Mathématiques; Économie,Mathématiques; Économie,Organiser; Analyser des données; Être rigoureux; Calculer,Gérer; Analyser des données; Analyser des comptes; Faire des calculs,Problèmes financiers,Travaux pratiques,Théorie et pratique,Régulier,Bureau,Audit; Comptabilité,Seul ou en équipe,La stabilité professionnelle,ISAIA,Développeur full-stack,4.0
2026-07-02 16:45:20,Étudiant(e),A2,Histoire; Anglais,Anglais; Français,Rédiger; Communiquer; Créer; Présenter,Créer du contenu; Communiquer; Organiser des événements,Problèmes de communication,Projets,Pratique et théorie,Dynamique,Entreprise,Publicité; Médias; Marketing,En équipe,Développer mes compétences relationnelles,IAA,Assistant de recherche,4.0
2026-08-18 16:00:16,Étudiant(e),A1,Gestion; Français; Économie,Mathématiques; Gestion,Calculer; Organiser; Analyser des données; Planifier,Planifier; Organiser; Analyser un marché; Gérer un projet,Problèmes économiques et organisationnels,Études de cas,Pratique,Régulier,Bureau,Gestion; Économie,Seul ou en équipe,Les perspectives de carrière,EMP,Manager,2.0
2026-08-21 12:58:27,Étudiant(e),S,Mathématiques; Anglais,Informatique; Mathématiques,Travailler avec des données; Résoudre des problèmes logiques,Créer des applications; Automatiser des tâches; Analyser des données,Problèmes logiques et techniques,Programmation,Pratique,Intensif et régulier,Entreprise; Startup,Programmation; Intelligence artificielle,En équipe,Développer des compétences professionnelles,ISAIA,Ingénieur logiciel,5.0
2026-07-31 10:23:28,Professionnel(le),S,Physique; Informatique; Mathématiques,Informatique,Utiliser des outils informatiques; Résoudre des problèmes logiques; Analyser des informations,Programmer; Automatiser des tâches,Problèmes logiques et techniques,Programmation; Projets pratiques,Pratique,Intensif et régulier,Télétravail,Robotique; Intelligence artificielle; Programmation,Seul ou en petite équipe,Développer des compétences professionnelles,ESIIA,Ingénieur IA,3.0
2026-08-19 17:19:53,Professionnel(le),A1,Français; Histoire,Philosophie,Analyser des textes; Argumenter,Faire des recherches; Débattre,Problèmes juridiques et sociaux,Débats,Théorie,Régulier,Administration; Institution publique,Droits humains; Société,Seul,La reconnaissance du diplôme,DTJA,Juriste,5.0
2026-07-17 13:46:35,Étudiant(e),A2,Histoire; Anglais; Français,Français,Rédiger; Créer; Communiquer; Présenter,Présenter; Créer du contenu; Organiser des événements,Problèmes de communication,Présentations; Projets,Pratique,Intensif et régulier,Agence,Communication; Médias; Événementiel; Marketing,En équipe,Développer mes compétences relationnelles,IAA,Ingénieur agroalimentaire,2.0
2026-07-31 14:59:00,Professionnel(le),S,SVT; Physique,Physique,Analyser; Résoudre des problèmes,Rechercher; Analyser; Concevoir,Problèmes scientifiques,Travaux pratiques,Pratique et théorie,Intensif et régulier,Industrie,Environnement; Sciences; Technologie; Recherche,Seul ou en équipe,Être utile à la société,ESIIA,Technicien,5.0
2026-08-21 10:01:30,Étudiant(e),C,SVT; Chimie; Physique,Physique,Résoudre des problèmes; Observer; Expérimenter,Analyser; Concevoir; Faire des expériences; Rechercher,Problèmes scientifiques,Recherche; Expériences,Pratique et théorie,Régulier,Laboratoire; Industrie,Environnement; Recherche,Seul ou en équipe,Être utile à la société,IMTICIA,Analyste cyber-sécurité,2.0
2026-07-25 17:45:12,Étudiant(e),D,SVT; Chimie; Physique,Chimie,Observer; Expérimenter; Manipuler des outils ou équipements,Rechercher; Faire des expériences; Mesurer; Analyser des substances,Problèmes scientifiques et expérimentaux,Travaux pratiques,Pratique,Régulier,Laboratoire; Centre de recherche,Environnement; Laboratoire; Industrie; Chimie,En équipe,Acquérir une formation solide,PIP,Technicien qualité,3.0
2026-08-10 10:23:09,Professionnel(le),A2,Mathématiques; Économie; Français,Français; Économie,Communiquer; Analyser,Négocier; Faire du commerce,Problèmes commerciaux,Études de cas,Pratique,Intensif,Agence,Entrepreneuriat; Marketing,En équipe,Les perspectives de carrière,PIP,Technicien en pharmacie,5.0
2026-07-14 16:28:01,Professionnel(le),S,Physique; Informatique; Anglais,Informatique; Mathématiques,Utiliser des outils informatiques; Analyser des informations; Travailler avec des données,Programmer; Automatiser des tâches,Problèmes logiques et techniques,Projets pratiques,Pratique,Régulier,Télétravail,Robotique; Intelligence artificielle,En équipe,Développer des compétences professionnelles,ESIIA,Développeur full-stack,3.0
2026-07-13 14:17:00,Étudiant(e),A2,Histoire; Français,Anglais,Créer; Communiquer; Rédiger,Communiquer; Organiser des événements,Problèmes de communication,Présentations,Pratique,Intensif et régulier,Studio; Agence,Marketing; Médias; Publicité; Événementiel,En équipe,Développer son réseau professionnel,AEE,Biologiste,2.0
